,Minimum race result at given distance to achieve VDOT score - i.e 5k race time of 22:16 = VDOT43 5k race time of 22:14=VDOT44,,,,,,,,,Training paces,,,,,,,,,,,,
VDOT,Race_1.5km,Race_Mile,Race_3km,Race_2_mile,Race_5k,Race_10k,Race_15km,Race_Half_Marathon,Race_Marathon,Easy_Long_Pace_per_Mile,Easy_Long_Pace_per_km,Marathon_Pace_per_Mile,Marathon_Pace_per_km,Threshold_Pace_400m,Threshold_Pace_per_Mile,Threshold_Pace_per_km,Interval_Pace_400m,Interval_Pace_1.2km,Interval_Pace_per_Mile,Repetition_Pace_200m,Repetition_Pace_400m,Repetition_Pace_per_Mile
59,04:39,05:02,09:58,10:46,17:17,35:52:00,55:06:00,01:19:18,02:45:47,07:13,04:26,06:14,03:52,01:28,05:44,03:40,01:22,05:24,03:22,00:37,01:16,03:01
60,04:35,04:57,09:50,10:37,17:03,35:22:00,54:18:00,01:18:09,02:43:25,07:07,04:23,06:09,03:49,01:26,05:38,03:37,01:21,05:20,03:20,00:37,01:16,02:59
61,04:31,04:53,09:41,10:27,16:48,34:52:00,53:32:00,01:17:02,02:41:08,07:01,04:20,06:04,03:46,01:25,05:33,03:34,01:20,05:16,03:17,00:36,01:15,02:56
62,04:27,04:49,09:33,10:18,16:34,34:23:00,52:47:00,01:15:57,02:38:54,06:56,04:16,05:59,03:43,01:23,05:28,03:32,01:19,05:12,03:14,00:36,01:14,02:53
63,04:24,04:45,09:25,10:10,16:20,33:55:00,52:03:00,01:14:54,02:36:44,06:50,04:13,05:54,03:40,01:22,05:23,03:29,01:18,05:08,03:12,00:35,01:12,02:51
64,04:20,04:41,09:17,10:01,16:07,33:28:00,51:20:00,01:13:53,02:34:38,06:45,04:10,05:49,03:37,01:21,05:18,03:26,01:17,05:04,03:09,00:35,01:11,02:48
65,04:16,04:37,09:09,09:53,15:54,33:01:00,50:40:00,01:12:53,02:32:35,06:40,04:18,05:45,03:34,01:20,05:14,03:24,01:16,05:00,03:08,00:34,01:10,02:45
66,04:13,04:33,09:02,09:45,15:42,32:35:00,50:00:00,01:11:56,02:30:36,06:53,04:03,05:40,03:31,01:19,05:09,03:21,01:15,04:57,03:05,00:34,01:09,02:43
67,04:10,04:30,08:55,09:37,15:29,32:11:00,49:22:00,01:11:00,02:28:40,06:30,04:01,05:36,03:29,01:18,05:05,03:19,01:14,04:53,03:03,00:33,01:08,02:40
68,04:06,04:26,08:48,09:30,15:18,31:46:00,48:44:00,01:10:05,02:26:47,06:26,03:58,05:32,03:26,01:17,05:01,03:16,01:13,04:50,03:01,00:33,01:07,02:38
69,04:03,04:23,08:41,09:23,15:06,31:23:00,48:08:00,01:09:12,02:24:57,06:21,03:55,05:28,03:24,01:17,04:57,03:14,01:12,04:46,02:59,00:32,01:06,02:35
70,04:00,04:19,08:34,09:16,14:55,31:00:00,47:32:00,01:08:21,02:23:10,06:17,03:52,05:24,03:21,01:16,04:53,03:12,01:11,04:43,02:57,00:32,01:05,02:33
71,03:57,04:16,08:28,09:09,14:44,30:38:00,46:58:00,01:07:31,02:21:26,06:12,03:50,05:20,03:19,01:16,04:49,03:10,01:10,04:40,02:55,00:31,01:04,02:31
72,03:54,04:13,08:22,09:02,14:33,30:16:00,46:24:00,01:06:42,02:19:44,06:08,03:47,05:16,03:16,01:15,04:45,03:08,01:09,04:37,02:53,00:31,01:03,02:29
73,03:52,04:10,08:16,08:55,14:23,29:55:00,45:51:00,01:05:54,02:18:05,06:04,03:45,05:13,03:14,01:14,04:42,03:06,01:09,04:34,02:51,00:31,01:02,02:27
74,03:49,04:07,08:10,08:49,14:13,29:34:00,45:19:00,01:05:08,02:16:29,06:00,03:42,05:09,03:12,01:14,04:38,03:04,01:08,04:31,02:49,00:30,01:02,02:25
75,03:46,04:04,08:04,08:43,14:03,29:14:00,44:48:00,01:04:23,02:14:55,05:56,03:40,05:05,03:10,01:13,04:34,03:02,01:07,04:28,02:48,00:30,01:01,02:23
76,03:44,04:02,07:58,08:37,13:54,28:55:00,44:18:00,01:03:39,02:13:23,05:52,03:37,05:02,03:08,01:12,04:31,03:00,01:06,04:25,02:46,00:29,01:00,02:21
77,03:41,03:58,07:53,08:31,13:44,28:36:00,43:49:00,01:02:56,02:11:54,05:48,03:35,04:59,03:05,01:11,04:28,02:58,01:05,04:23,02:44,00:29,00:59,02:19
78,03:38,03:56,07:48,08:25,13:35,28:17:00,43:20:00,01:02:15,02:10:27,05:45,03:33,04:55,03:03,01:10,04:24,02:56,01:05,04:20,02:42,00:29,00:59,02:17
79,03:36,03:54,07:43,08:20,13:26,27:59:00,42:52:00,01:01:34,02:09:02,05:41,03:31,04:52,03:01,01:10,04:21,02:54,01:04,04:17,02:41,00:28,00:58,02:15
80,03:34,03:51,07:37,08:14,13:18,27:41:00,42:25:00,01:00:54,02:07:38,05:38,03:28,04:49,03:00,01:09,04:18,02:53,01:04,04:15,02:39,00:28,00:58,02:14
81,03:31,03:49,07:32,08:08,13:09,27:24:00,41:58:00,01:00:15,02:06:17,05:34,03:26,04:46,02:58,01:08,04:15,02:51,01:03,04:12,02:38,00:28,00:57,02:12
82,03:29,03:46,07:27,08:03,13:01,27:07:00,41:32:00,00:59:38,02:04:57,05:31,03:25,04:43,02:56,01:08,04:12,02:49,01:02,04:10,02:36,00:27,00:56,02:10
83,03:27,03:44,07:23,07:58,12:53,26:51:00,41:06:00,00:59:01,02:03:40,05:28,03:23,04:40,02:54,01:07,04:09,02:48,01:02,04:08,02:35,00:27,00:56,02:08
84,03:25,03:42,07:18,07:53,12:45,26:34:00,40:42:00,00:58:25,02:02:24,05:25,03:20,04:37,02:52,01:06,04:06,02:46,01:01,04:05,02:33,00:27,00:55,02:07
85,03:23,03:40,07:14,07:48,12:37,26:19:00,40:17:00,00:57:50,02:01:10,05:21,03:20,04:37,02:52,01:06,04:06,02:46,01:01,04:05,02:33,00:27,00:55,02:15
